JX458849|MARV/H.sapiens-tc/COD/2000/25DRC|2000-XX-XX	Democratic Republic of the Congo	JX458849
JX458826|MARV/H.sapiens-tc/COD/1999/03DRC|1999-XX-XX	Democratic Republic of the Congo	JX458826
JX458846|MARV/H.sapiens-tc/COD/2000/28DRC|2000-XX-XX	Democratic Republic of the Congo	JX458846
JX458828|MARV/H.sapiens-tc/COD/2000/19DRC|2000-XX-XX	Democratic Republic of the Congo	JX458828
JX458830|MARV/H.sapiens-tc/COD/1999/06DRC|1999-XX-XX	Democratic Republic of the Congo	JX458830
JX458827|MARV/H.sapiens-tc/COD/2000/32DRC|2000-XX-XX	Democratic Republic of the Congo	JX458827
JX458843|MARV/H.sapiens-tc/COD/2000/21DRC|2000-XX-XX	Democratic Republic of the Congo	JX458843
JX458854|MARV/R.aegyptiacus-tc/UGA/2009/1175Qbat|2009-XX-XX	Uganda	JX458854
JX458841|MARV/H.sapiens-tc/COD/2000/20DRC|2000-XX-XX	Democratic Republic of the Congo	JX458841
JX458834|MARV/H.sapiens-tc/COD/2000/24DRC|2000-XX-XX	Democratic Republic of the Congo	JX458834
JX458845|MARV/H.sapiens-tc/COD/2000/13DRC|2000-XX-XX	Democratic Republic of the Congo	JX458845
JX458847|MARV/H.sapiens-tc/COD/2000/15DRC|2000-XX-XX	Democratic Republic of the Congo	JX458847
JX458844|MARV/H.sapiens-tc/COD/2000/26DRC|2000-XX-XX	Democratic Republic of the Congo	JX458844
JX458829|MARV/H.sapiens-tc/COD/2000/34DRC|2000-XX-XX	Democratic Republic of the Congo	JX458829
JX458848|MARV/H.sapiens-tc/COD/2000/22DRC|2000-XX-XX	Democratic Republic of the Congo	JX458848
JX458850|MARV/H.sapiens-tc/COD/2000/33DRC|2000-XX-XX	Democratic Republic of the Congo	JX458850
JX458837|MARV/H.sapiens-tc/COD/2000/27DRC|2000-XX-XX	Democratic Republic of the Congo	JX458837
JX458851|MARV/H.sapiens-tc/COD/1999/02DRC|1999-XX-XX	Democratic Republic of the Congo	JX458851
JX458825|MARV/H.sapiens-tc/COD/1999/04DRC|1999-XX-XX	Democratic Republic of the Congo	JX458825
JX458835|MARV/H.sapiens-tc/COD/2000/23DRC|2000-XX-XX	Democratic Republic of the Congo	JX458835
JX458856|MARV/R.aegyptiacus-tc/UGA/2009/914Qbat|2009-XX-XX	Uganda	JX458856
KC545388|Mbg-423-2012|2012-XX-XX	Uganda	KC545388
KC545387|Mbg-422-2012|2012-XX-XX	Uganda	KC545387
JN408064|Leiden|2008-XX-XX	Netherlands	JN408064
KR867677|Marburgvirus/H.sapiens-tc/AGO/2005/Angola-200501379|2005-13-03	Angola	KR867677
KR063674|Marburgvirus/H.sapiens-tc/AGO/2005/Angola-810820|2005-13-03	Angola	KR063674
KU978782|Angolaprototype20051379|2005-01-01	Angola	KU978782
KY047763|Marburgvirus/H.sapiens-tc/AGO/2005/Angola-368|2005-XX-XX	Angola	KY047763
MN258361|PREDICT_SLAB3960Kakbat_SL_2017|2017-12-06	Sierra Leone	MN258361
MN187403|1000KasbatSL2018|2018-XX-XX	Sierra Leone	MN187403
MN187404|968KasbatSL2018|2018-XX-XX	Sierra Leone	MN187404
MN187405|960KasbatSL2018|2018-XX-XX	Sierra Leone	MN187405
MN187406|960LNKasbatSL2018|2018-XX-XX	Sierra Leone	MN187406
Ghana-MV-22-106|2022-06-XX	Ghana	Ghana-MV-22-106
Ghana-MV-22-114C|2022-06-XX	Ghana	Ghana-MV-22-114C
